epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,17334.8,1.02308,3.67182,0.33687,0.86744,1.18668,0.86792,0.8136,0.90541,0.68208,0.83592,0.72985,0.7801,0.4643,0.87222,2.67417,0.31355,0.65113,1.07038,0.004753,0.004753,0.004753
55,19092.1,1.02376,3.67547,0.33651,0.86751,1.18655,0.87476,0.80817,0.90546,0.68233,0.83527,0.73331,0.78179,0.465,0.87184,2.67007,0.31319,0.65128,1.06966,0.004654,0.004654,0.004654
56,20856.4,1.01974,3.66619,0.33636,0.8652,1.18304,0.87298,0.80826,0.90557,0.68289,0.83643,0.73142,0.78142,0.46554,0.87127,2.66625,0.31281,0.65063,1.06906,0.004555,0.004555,0.004555
57,22592.6,1.02138,3.65558,0.33607,0.86502,1.18577,0.87772,0.80605,0.90609,0.68347,0.83592,0.73174,0.78145,0.46573,0.87111,2.66205,0.31237,0.64983,1.06891,0.004456,0.004456,0.004456
58,24332.2,1.01878,3.64347,0.33504,0.86152,1.18349,0.8774,0.80444,0.90631,0.68397,0.83974,0.7289,0.78128,0.46695,0.87021,2.65915,0.31212,0.64892,1.06799,0.004357,0.004357,0.004357
59,26041.8,1.01774,3.64311,0.33481,0.8589,1.18317,0.87882,0.80378,0.90631,0.68428,0.83436,0.73095,0.77994,0.46694,0.86971,2.65677,0.31174,0.64815,1.06743,0.004258,0.004258,0.004258
60,27751.8,1.01491,3.63129,0.33383,0.85982,1.18176,0.87844,0.80659,0.90653,0.68493,0.83819,0.73151,0.78218,0.46742,0.86915,2.65292,0.31134,0.64726,1.06721,0.004159,0.004159,0.004159
61,29466.5,1.01394,3.63128,0.3337,0.85731,1.18246,0.87761,0.80778,0.90672,0.68558,0.83744,0.733,0.78311,0.46863,0.86882,2.64967,0.31099,0.64671,1.06705,0.00406,0.00406,0.00406
62,31177.3,1.01256,3.62364,0.33294,0.85763,1.18196,0.8758,0.80841,0.90712,0.68639,0.83778,0.73339,0.78511,0.46968,0.8682,2.64504,0.31049,0.646,1.06657,0.003961,0.003961,0.003961
63,32888.5,1.01225,3.59508,0.33222,0.85325,1.17902,0.87956,0.80482,0.9072,0.68626,0.84344,0.73016,0.78517,0.47051,0.86789,2.64148,0.30999,0.64578,1.06656,0.003862,0.003862,0.003862
64,34598.4,1.0048,3.58825,0.33182,0.84794,1.17545,0.87876,0.80557,0.90734,0.68659,0.84641,0.7289,0.78627,0.47114,0.86752,2.63871,0.30965,0.6453,1.06607,0.003763,0.003763,0.003763
65,36308.4,1.00748,3.57795,0.33075,0.84869,1.17714,0.87976,0.80518,0.90756,0.68705,0.84707,0.72815,0.78496,0.47154,0.86667,2.63564,0.30928,0.64491,1.06512,0.003664,0.003664,0.003664
