epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,4219.29,1.28607,1.15583,1.38332,0.91506,0.82805,0.90451,0.55741,1.25777,0.85192,1.46924,0.0007328,0.0007328,0.0007328
66,4282.83,1.27054,1.15279,1.37029,0.92734,0.82805,0.91883,0.58909,1.28094,0.82104,1.46632,0.000713,0.000713,0.000713
67,4346.63,1.26547,1.12976,1.35049,0.91075,0.83111,0.90385,0.59308,1.29773,0.80758,1.45164,0.0006932,0.0006932,0.0006932
68,4410.52,1.2578,1.10924,1.3562,0.87845,0.85024,0.90852,0.58511,1.30739,0.7866,1.47563,0.0006734,0.0006734,0.0006734
69,4474.66,1.26478,1.10369,1.35969,0.91426,0.83258,0.91729,0.59715,1.26662,0.79383,1.46295,0.0006536,0.0006536,0.0006536
70,4538.84,1.2544,1.11606,1.35412,0.85505,0.88085,0.90356,0.57882,1.28616,0.78199,1.49459,0.0006338,0.0006338,0.0006338
71,4602.55,1.25443,1.11773,1.36156,0.92282,0.84163,0.90774,0.59462,1.27837,0.79553,1.45819,0.000614,0.000614,0.000614
72,4671.67,1.24486,1.10347,1.34194,0.89082,0.84163,0.90448,0.58575,1.36271,0.81087,1.51141,0.0005942,0.0005942,0.0005942
73,4735.76,1.24307,1.07253,1.32923,0.86285,0.84615,0.8983,0.59064,1.24902,0.80761,1.46251,0.0005744,0.0005744,0.0005744
74,4806.81,1.21352,1.07046,1.32566,0.92239,0.86045,0.91109,0.58291,1.27498,0.82096,1.46253,0.0005546,0.0005546,0.0005546
75,4873.92,1.2075,1.06646,1.32439,0.88802,0.86118,0.90879,0.59276,1.24632,0.76345,1.44267,0.0005348,0.0005348,0.0005348
76,4938.35,1.19351,1.03277,1.30924,0.88463,0.8733,0.90906,0.59016,1.23834,0.77399,1.46081,0.000515,0.000515,0.000515
77,5002.49,1.20277,1.05254,1.31568,0.85333,0.86877,0.90645,0.58396,1.26319,0.78593,1.45465,0.0004952,0.0004952,0.0004952
78,5066.37,1.2164,1.05025,1.32763,0.89422,0.82805,0.90282,0.59357,1.26052,0.80699,1.44881,0.0004754,0.0004754,0.0004754
79,5133.21,1.19325,1.0357,1.3035,0.92494,0.83258,0.90081,0.59457,1.22212,0.75595,1.44109,0.0004556,0.0004556,0.0004556
80,5197.61,1.1933,1.03403,1.3025,0.91851,0.81448,0.89973,0.60353,1.26822,0.77588,1.47298,0.0004358,0.0004358,0.0004358
81,5261.79,1.1927,1.02022,1.31401,0.89149,0.81784,0.90532,0.58884,1.25357,0.77307,1.46202,0.000416,0.000416,0.000416
82,5325.57,1.18025,0.99926,1.29437,0.92313,0.81505,0.90372,0.5965,1.22936,0.75487,1.43961,0.0003962,0.0003962,0.0003962
83,5389.26,1.16998,1.00626,1.3032,0.90677,0.84163,0.89647,0.58969,1.25539,0.76941,1.46708,0.0003764,0.0003764,0.0003764
84,5453.01,1.16636,1.00397,1.30211,0.91634,0.84253,0.91766,0.59814,1.29509,0.74756,1.47272,0.0003566,0.0003566,0.0003566
85,5516.73,1.16453,0.97385,1.28311,0.93028,0.84525,0.91415,0.59553,1.2246,0.73547,1.44833,0.0003368,0.0003368,0.0003368
86,5604.91,1.15209,0.96369,1.27419,0.92813,0.85973,0.91059,0.60868,1.23424,0.7251,1.43728,0.000317,0.000317,0.000317
87,5674.76,1.15304,0.97741,1.27658,0.93125,0.85805,0.91443,0.60428,1.22586,0.72283,1.41821,0.0002972,0.0002972,0.0002972
88,5789.74,1.13252,0.95111,1.26464,0.91329,0.85788,0.91251,0.60993,1.22996,0.7095,1.4486,0.0002774,0.0002774,0.0002774
89,5885.13,1.12955,0.94096,1.25548,0.93049,0.848,0.91411,0.61156,1.23108,0.71468,1.45293,0.0002576,0.0002576,0.0002576
90,6004.28,1.13236,0.96331,1.2675,0.9065,0.87744,0.91581,0.60799,1.23852,0.71931,1.44919,0.0002378,0.0002378,0.0002378
91,6110.41,1.0451,0.7476,1.22816,0.91594,0.85068,0.919,0.60905,1.24757,0.73931,1.43704,0.000218,0.000218,0.000218
92,6194.55,1.02379,0.7221,1.20685,0.93127,0.8584,0.92376,0.61325,1.20265,0.68314,1.42782,0.0001982,0.0001982,0.0001982
93,6278.94,1.00808,0.70827,1.20719,0.92519,0.86425,0.92187,0.6132,1.21236,0.68605,1.43473,0.0001784,0.0001784,0.0001784
94,6363.11,0.99449,0.68702,1.19596,0.92291,0.8668,0.92326,0.61604,1.21465,0.6801,1.43941,0.0001586,0.0001586,0.0001586
95,6446.96,0.99765,0.69429,1.20212,0.93442,0.86425,0.92519,0.61649,1.22266,0.6832,1.44958,0.0001388,0.0001388,0.0001388
96,6531.14,0.99243,0.67884,1.19567,0.9364,0.8552,0.92183,0.62075,1.21022,0.67952,1.44303,0.000119,0.000119,0.000119
97,6596.31,1.00186,0.68188,1.19428,0.92822,0.8552,0.92418,0.62272,1.18664,0.66171,1.41873,9.92e-05,9.92e-05,9.92e-05
98,6661.36,0.98161,0.67179,1.18948,0.94224,0.85973,0.92085,0.63122,1.17485,0.66529,1.4129,7.94e-05,7.94e-05,7.94e-05
99,6725.81,0.98123,0.66173,1.17933,0.90578,0.8914,0.92521,0.63063,1.17486,0.67213,1.41668,5.96e-05,5.96e-05,5.96e-05
100,6789.52,0.96462,0.65341,1.16603,0.93873,0.86425,0.92475,0.63325,1.17648,0.67415,1.41532,3.98e-05,3.98e-05,3.98e-05
