epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,7353.07,1.20714,1.18276,1.38335,0.87333,0.77517,0.87791,0.57468,1.17744,0.88083,1.43317,0.00132177,0.00132177,0.00132177
64,7436.59,1.18515,1.14521,1.36887,0.84677,0.81208,0.88738,0.56659,1.21394,0.84795,1.45536,0.00131083,0.00131083,0.00131083
65,7520.29,1.18761,1.14524,1.36451,0.84377,0.7953,0.86726,0.55089,1.25017,0.86786,1.48676,0.00129989,0.00129989,0.00129989
66,7604.03,1.18208,1.16157,1.37084,0.88962,0.7843,0.8989,0.56069,1.27695,0.88036,1.47791,0.00128895,0.00128895,0.00128895
67,7687.95,1.1771,1.13752,1.36269,0.87107,0.74817,0.8537,0.55555,1.24882,1.00036,1.48327,0.00127801,0.00127801,0.00127801
68,7771.22,1.18783,1.16114,1.36035,0.89171,0.81879,0.88988,0.57685,1.21702,0.82288,1.47526,0.00126707,0.00126707,0.00126707
69,7854.96,1.17895,1.13933,1.36108,0.85227,0.76846,0.87663,0.57011,1.19271,0.85673,1.44014,0.00125613,0.00125613,0.00125613
70,7938.88,1.16807,1.10669,1.35341,0.85486,0.76846,0.8629,0.56715,1.22206,0.89383,1.46104,0.00124519,0.00124519,0.00124519
71,8022.87,1.19673,1.13908,1.37047,0.91543,0.76277,0.89204,0.58679,1.21771,0.87014,1.44466,0.00123425,0.00123425,0.00123425
72,8106.63,1.14573,1.07353,1.33716,0.85666,0.8022,0.88918,0.56452,1.2668,0.80031,1.47404,0.00122331,0.00122331,0.00122331
73,8190.09,1.16126,1.08715,1.34662,0.87847,0.7651,0.86763,0.55946,1.26107,0.84743,1.49896,0.00121238,0.00121238,0.00121238
74,8273.88,1.16969,1.11886,1.35629,0.90754,0.75759,0.87371,0.56439,1.22049,0.90082,1.44247,0.00120144,0.00120144,0.00120144
75,8357.72,1.15284,1.08284,1.33021,0.8049,0.84228,0.88734,0.58728,1.18638,0.78245,1.40512,0.0011905,0.0011905,0.0011905
76,8441.64,1.17917,1.10347,1.34459,0.84015,0.82886,0.89149,0.57412,1.23719,0.79196,1.43626,0.00117956,0.00117956,0.00117956
77,8524.91,1.14292,1.05872,1.32923,0.868,0.7953,0.88599,0.56511,1.23236,0.76712,1.47688,0.00116862,0.00116862,0.00116862
78,8608.78,1.1468,1.07358,1.33466,0.86205,0.81786,0.88581,0.57523,1.2659,0.81679,1.46081,0.00115768,0.00115768,0.00115768
79,8692.58,1.15175,1.0791,1.32992,0.87231,0.84899,0.89968,0.59754,1.18394,0.77752,1.43156,0.00114674,0.00114674,0.00114674
80,8776.25,1.13569,1.08788,1.32525,0.88117,0.79625,0.89675,0.59055,1.20568,0.83235,1.41869,0.0011358,0.0011358,0.0011358
81,8859.6,1.13296,1.05086,1.32845,0.89204,0.82215,0.91478,0.58704,1.20071,0.78012,1.42403,0.00112486,0.00112486,0.00112486
